原文	改后	次数	类型
基冬	基顿	1	译名
基勒乃	古利奈	9	译名
基塔殷	基他音	2	译名
基宗	基孙	2	译名
基尔加史	革迦撒	2	译名
基尔加士	革迦撒	6	译名
基尔齐	基色	1	译名
基巴尔	吉罢珥	1	译名
基市帕	基斯帕	1	译名
基延	基提	1	译名
基廷	基提	9	译名
基德敖尼	基多尼	5	译名
基德红	基甸	50	译名
基德耳	吉德	4	译名
基拉来	基拉莱	1	译名
基斯罗特大博尔	吉斯绿他泊	1	译名
基斯隆	基斯伦	1	译名
基特里士	基提利	1	译名
基红	基训	7	译名
基纳特	基纳	2	译名
基耳加耳	吉甲	38	译名
基耳波亚	基利波	8	译名
基耳阿得	基列	1	译名
基肋阿布	基利押	1	译名
基肋阿得	基列	122	按语境区分译名
基肋阿得	基列	14	译名
基肋阿得	迦累得	3	译名
基肋雍	基连	3	译名
基色娄	基斯流	8	译名
基贝亚	基比亚	43	译名
基贝红	基遍	51	译名
基贝通	基比顿	6	译名
基达耳提	基大利提	2	译名
基里基雅	基利家	14	译名
基默左	瑾锁	1	译名
基默罕	金罕	3	译名
堂胡默特	单户篾	1	按语境区分译名
堂胡默特	单户蔑	1	按语境区分译名
塔勒亚	他利亚	2	译名
塔哈士	他辖	1	译名
塔哈特	他哈	10	译名
塔培乃斯	答比匿	3	译名
塔尔史士	他施	22	按语境区分译名
塔尔史士	他施	7	译名
塔尔史士	他施斯	1	按语境区分译名
塔尔塔克	他珥他	1	译名
塔尔索	大数	7	译名
塔尼斯	琐安	2	译名
塔巴敖特	答巴俄	2	译名
塔巴特	他巴	1	译名
塔彼达	大比大	2	译名
塔德摩尔	达莫	1	译名
塔慕次	搭模斯	1	译名
塔普亚	他普亚	7	译名
塔法特	她法	1	译名
塔波尔	他泊	1	译名
塔特乃	达乃	4	译名
塔玛尔	他玛	3	按语境区分译名
塔玛尔	他玛	10	译名
塔玛尔	她玛	18	按语境区分译名
塔玛赫	答玛	1	译名
塔纳客	他纳	7	译名
塔纳特史罗	他纳示罗	1	译名
塔罕	他罕	4	译名
塔耳买	挞买	3	按语境区分译名
塔耳买	达买	3	按语境区分译名
塔耳孟	达们	5	译名
塔贝耳	他比勒	1	译名
塔贝辣	他备拉	2	译名
塔贝黎孟	他伯利们	1	译名
塔辣拉	他拉拉	1	译名
塔黑培乃斯	答比匿	7	译名
多丹	多单	1	按语境区分译名
多丹	多单	1	译名
多厄格	多益	6	译名
多堂	多坍	8	译名
多尔	多珥	7	译名
多尔卡	多加	2	译名
多弗卡	脱加	2	译名
多彼雅	多比雅	1	译名
多贝辣特	大比拉	4	译名
多达瓦	多大瓦	1	译名
多默	多马	12	译名
大博尔	他泊	3	译名
大博尔山	他泊山	5	译名
大马士革	大马色	68	译名
天主	上帝	4940	译名
太贝特	提别	1	译名
夫黎基雅	弗吕家	4	译名
夸尔托	括土	1	译名
季黎诺	居里扭	1	译名
安仆里雅	暗伯利	1	译名
安多尼苛	安多尼古	7	译名
安得洛尼科	安多尼古	1	译名
安德肋	安得烈	13	译名
安托提雅	安陀提雅	1	译名
安提帕特	安提帕底	3	译名
安提约基雅	安提阿	36	译名
安非颇里	暗妃坡里	1	译名
客纳罕	迦南	181	译名
尼加诺尔	尼迦挪	45	译名
尼色洛客	尼斯洛	2	译名
尼苛劳	尼哥拉	3	译名
尼苛德摩	尼哥底母	5	译名
尼苛颇里	尼哥坡里	1	译名
尼贝哈次	匿哈	1	译名
尼贝商	匿珊	1	译名
尼革尔	尼结	1	译名
尼默史	宁示	5	译名
尼默洛得	宁录	5	译名
尼默洛特	宁录	1	译名
尼默辣	宁拉	1	译名
尼默陵	宁林	2	译名
居鲁士	古列	24	译名
岳厄尔	约珥	3	译名
左哈尔	琐珥	11	译名
左尔	泰尔	1	译名
左法尔	琐法	5	译名
左罕	琐安	6	按语境区分译名
左罕	锁安	1	按语境区分译名
左赫特	梭黑	1	译名
左赫肋特	琐希列	1	译名
巴兹路特	巴洗律	1	译名
巴兹里特	巴洗律	1	译名
巴刻巴卡	拔巴甲	1	译名
巴刻步克	巴卜	2	译名
巴刻步克雅	八布迦	3	译名
巴厄沙	巴沙	27	译名
巴商	巴珊	59	译名
巴尔多禄茂	巴多罗买	4	译名
巴尔提买	巴底买	1	译名
巴尔撒巴	巴撒巴	2	译名
巴尔科斯	巴柯	2	译名
巴尔纳伯	巴拿巴	28	译名
巴尔耶稣	巴耶稣	1	译名
巴尔齐来	巴西莱	15	译名
巴尼	比挪	2	按语境区分译名
巴拉克	巴勒	45	译名
巴拉特	巴拉	2	译名
巴摩特	巴末	2	译名
巴摩特巴耳	巴末巴力	2	译名
巴次	罢斯	1	译名
巴比伦	巴别	1	同地异名按本节
巴特舍巴	拔示巴	16	译名
巴特辣宾	巴特拉并	1	译名
巴耳	巴力	116	译名
巴耳则步	巴力西卜	4	译名
巴耳哈南	巴勒哈南	5	译名
巴耳培敖尔	巴力毗珥	5	按语境区分译名
巴耳培敖耳	巴力毗珥	1	译名
巴耳培辣亲	巴力毗拉心	4	译名
巴耳沙里沙	巴力沙利沙	1	译名
巴耳贝黎特	巴力比利土	3	译名
巴耳责丰	巴力洗分	4	译名
巴胡陵	巴户琳	5	按语境区分译名
巴胡陵	巴路米	1	按语境区分译名
巴胡陵	巴鲁米	1	按语境区分译名
巴色玛塔	巴实抹	1	译名
巴色玛特	巴实抹	6	译名
巴贝耳	巴别	2	译名
巴路克	巴录	28	译名
巴路客	巴录	2	译名
巴辣克	巴拉	16	译名
巴辣加	比拉迦	2	译名
巴辣巴	巴拉巴	12	译名
巴辣革耳	巴拉迦	2	译名
巴郎	巴兰	68	译名
巴里	巴力	1	译名
巴里斯	巴利斯	1	译名
巴阿拉	巴拉	7	译名
巴阿拉特贝尔	巴拉比珥	1	译名
巴阿纳	巴拿	12	译名
巴阿色雅	巴西雅	2	译名
巴鲁客	巴录	2	译名
巴黎亚	巴利亚	1	译名
布拉斯托	伯拉斯都	1	译名
布次	布斯	1	译名
布次	布西	2	按语境区分译名
希兰	户兰	5	按语境区分译名
希农	欣嫩	13	译名
希则克雅	希西家	137	按语境区分译名
希则克雅	希西家	5	译名
希则克雅	耶希西家	1	按语境区分译名
希威	希未	3	译名
希威人	希未人	24	译名
希次克	希西基	1	译名
希沙哈尔	亚希沙哈	1	译名
希耳	希伊勒	3	译名
希耳克雅	希勒家	41	译名
希肋次	希仑	1	译名
希肋耳	希列	2	译名
希辣	希拉	2	译名
帕丹	巴旦	1	译名
帕丹阿兰	巴旦亚兰	12	译名
帕乌	巴乌	1	译名
帕佛	帕弗	2	译名
帕依	巴伊	1	译名
帕兰	巴兰	10	译名
帕冬	巴顿	2	译名
帕哈特摩阿布	巴哈摩押	6	译名
帕商大达	巴珊大他	1	译名
帕塔辣	帕大喇	1	译名
帕尔帕尔	法珥法	1	译名
帕尔瓦因	巴瓦音	1	译名
帕尔纳客	帕纳	1	译名
帕尔默纳	巴米拿	1	译名
帕市胡尔	巴施户珥	16	译名
帕拉耳	巴拉	1	译名
帕提雅人	帕提亚	1	译名
帕撒客	巴萨	1	译名
帕斯达明	巴斯达闵	2	译名
帕洛士	巴录	6	译名
帕特摩	拔摩	1	译名
帕特洛巴	八罗巴	1	译名
帕特洛斯	巴忒罗	5	按语境区分译名
帕特洛斯	帕斯鲁细	1	按语境区分译名
帕特洛斯	帕斯鲁细	1	译名
帕玛市达	帕玛斯他	1	译名
帕耳提	帕勒提	1	按语境区分译名
帕耳提	帕提	2	按语境区分译名
帕耳提	比伦	2	按语境区分译名
帕耳提耳	帕铁	2	译名
帕色亚	巴西亚	4	译名
帕路	法路	6	译名
帕辣	巴拉	1	译名
帕阿赖	帕莱	1	译名
帕革厄耳	帕结	5	译名
帕鲁亚	帕路亚	1	译名
幼发拉的	伯拉	32	译名
底格里斯	希底结	6	译名
弗肋贡	弗勒干	1	译名
弟茂德	提摩太	27	译名
弟铎	提多	19	译名
弥额尔	米迦勒	5	译名
彼卡特阿文	亚文平原	1	译名
彼奴依	宾内	6	按语境区分译名
彼奴依	宾内	2	译名
彼奴依	巴尼	1	按语境区分译名
彼奴依	巴瓦伊	1	按语境区分译名
彼尔匝依特	比撒威	1	译名
彼尔沙	比沙	1	译名
彼德卡	毕甲	1	译名
彼提尼雅	庇推尼	2	译名
彼提雅	比提雅	2	译名
彼次达	比斯他	1	译名
彼耳加	璧迦	4	译名
彼耳哈	辟拉	10	译名
彼耳商	必珊	2	译名
彼耳汉	比勒罕	2	按语境区分译名
彼耳汉	比连	1	按语境区分译名
彼耳汉	辟罕	1	按语境区分译名
彼耳汉	辟罕	1	译名
彼耳盖	璧该	1	译名
彼耳达得	比勒达	5	译名
彼舍蓝	比施兰	1	译名
彼革堂	辟探	3	译名
彼革外	比革瓦伊	6	译名
彼革达	比革他	1	译名
彼革黎	比基利	9	译名
彼默哈耳	宾哈	1	译名
得撒洛尼	帖撒罗尼迦	11	译名
得鲁息拉	土西拉	1	译名
德丹	底但	12	译名
德刻尔	底甲	1	译名
德尔贝	特庇	4	译名
德彼尔	底壁	2	按语境区分译名
德彼尔	底璧	12	按语境区分译名
德拉雅	第来雅	3	按语境区分译名
德拉雅	第莱雅	4	按语境区分译名
德敖斐罗	提阿非罗	2	译名
德波辣	底波拉	13	译名
德玛斯	底马	3	译名
德里拉	大利拉	11	译名
德默特琉	低米丢	54	译名
恩加宁	隐干宁	4	译名
恩厄革拉因	隐以革莲	1	译名
恩哈祚尔	隐夏琐	1	译名
恩哈达	隐哈大	1	译名
恩塔普亚	隐他普亚	1	译名
恩多尔	隐多珥	3	译名
恩米市帕特	安密巴	1	译名
恩革狄	隐基底	7	译名
息丁	西订	3	译名
息哈尔	叙加	1	译名
息宁	希尼	1	译名
息尔翁	西云	1	按语境区分译名
息尔翁	西连	2	按语境区分译名
息尼	西尼	2	译名
息弗摩特	息末	1	译名
息拉	西拉	16	译名
息斯买	西斯买	2	译名
息汪	西弯	2	译名
息特黎	西提利	1	译名
息红	西宏	39	译名
息耳瓦诺	西拉	5	译名
息色辣	西西拉	24	译名
息贝开	西比该	5	译名
息贝玛	西比玛	5	译名
息贝辣因	西伯莲	1	译名
息辣谷撒	叙拉古	1	译名
息阿哈	西亚	1	译名
息黎雍	沙仑	1	译名
慕兹黎	埃及	6	译名
慕史	母示	11	译名
慕平	母平	1	译名
托乌	陀乌	2	按语境区分译名
托乌	陀以	2	按语境区分译名
托加尔玛	陀迦玛	4	译名
托布	陀伯	7	译名
托庚	陀健	1	译名
托彼雅	多比雅	19	译名
托拉	陀拉	7	译名
托拉得	陀腊	1	译名
托斐特	陀斐特	10	译名
托胡	托户	4	译名
拉丕多特	拉比多	1	译名
拉依士	拉亿	5	按语境区分译名
拉依士	拉亿	2	译名
拉依士	莱煞	1	按语境区分译名
拉匝禄	拉撒路	19	译名
拉基士	拉吉	26	译名
拉撒雅	拉西亚	1	译名
拉海洛依	庇耳拉海莱	4	译名
拉赫玛斯	拉幔	1	译名
拉赫米	拉哈米	2	译名
拉阿达	拉大	1	译名
拉默客	拉麦	15	译名
拿步高	尼布甲尼撒	117	译名
提买	底买	1	译名
提刻瓦	特瓦	3	译名
提孟	提门	1	译名
提尔匝	得撒	18	译名
提尔哈卡	特哈加	2	译名
提尔哈纳	特哈拿	1	译名
提市贝	提斯比	1	译名
提市贝人	提斯比	6	译名
提希苛	推基古	5	译名
提庇黎雅	提比哩亚	3	译名
提斐撒	提斐萨	1	译名
提洛	推罗	64	译名
提漆	提洗	1	译名
提贝尼	提比尼	3	译名
提辣斯	提拉	2	译名
提达耳	提达	2	译名
提郎诺	推喇奴	1	译名
提隆	提伦	1	译名
提雅提辣	推雅推喇	4	译名
提革拉特丕肋色尔	提革拉毘列色	6	译名
提黎雅	提利	1	译名
提默纳	亭拿	5	按语境区分译名
提默纳	亭拿他	1	按语境区分译名
提默纳	亭纳	6	按语境区分译名
提默纳	亭纳	3	译名
提默纳特色辣黑	亭拿西拉	2	译名
提默纳赫勒斯	亭拿希烈	1	译名
提默纳黑	亭拿	3	译名
摩勒	摩利	3	译名
摩勒舍特	摩利沙	2	译名
摩勒舍特加特	摩利设迦特	1	译名
摩匝	摩撒	6	译名
摩夫	摩弗	1	译名
摩尔德开	末底改	75	译名
摩拉达	摩拉大	4	译名
摩肋客	摩洛	10	译名
摩肋革特	哈摩利吉	1	译名
摩色辣	摩西拉	1	译名
摩里得	摩利	1	译名
摩阿布	摩押	203	译名
摩黎雅	摩利亚	3	译名
撒乌耳	扫罗	412	译名
撒尔德	撒狄	3	译名
撒尔贡	撒珥根	1	译名
撒慕尔	撒母耳	143	译名
撒拉	撒门	3	译名
撒摩辣刻	撒摩特喇	1	译名
撒斐辣	撒非喇	1	译名
撒林	撒冷	1	译名
撒殚	撒但	54	译名
撒玛黎雅	撒马利亚	146	译名
撒罗满	所罗门	312	译名
撒罗默	撒罗米	2	译名
撒耳加	撒迦	4	译名
撒耳孟	撒门	4	译名
撒耳摩讷	撒摩尼	1	译名
撒耳玛	撒门	2	按语境区分译名
撒耳玛	萨玛	2	按语境区分译名
撒耳玛	萨玛	1	译名
撒贝拉	撒弗他	1	译名
撒贝特加	撒弗提迦	2	译名
撒贝达	撒弗他	1	译名
撒辣	撒拉	72	译名
撒辣依	撒莱	19	译名
撒辣弗	萨拉	1	译名
撒辣责尔	沙利色	1	译名
撒默拉	桑拉	3	译名
撤默拉	桑拉	1	译名
敖乃息佛洛	阿尼色弗	2	译名
敖乃息摩	阿尼西谋	4	译名
敖勒布	俄立	6	译名
敖南	阿南	4	译名
敖哈得	阿辖	2	译名
敖尔帕	俄珥巴	2	按语境区分译名
敖尔难	亚劳拿	7	按语境区分译名
敖尔难	阿珥楠	12	按语境区分译名
敖巴狄雅	俄巴底	11	按语境区分译名
敖巴狄雅	俄巴底亚	6	按语境区分译名
敖巴狄雅	俄巴底亚	1	译名
敖巴狄雅	俄巴底雅	3	按语境区分译名
敖巴耳	俄巴路	1	译名
敖弗尼	俄弗尼	1	译名
敖弗辣	俄弗拉	6	译名
敖彼耳	阿比勒	1	译名
敖德得	俄德	2	译名
敖愣	阿连	1	译名
敖斐耳	俄斐勒	4	译名
敖斐辣	俄弗拉	2	译名
敖曷拉	阿荷拉	5	译名
敖曷里巴	阿荷利巴	6	译名
敖曷里巴玛	亚何利巴玛	1	按语境区分译名
敖曷里巴玛	阿何利巴玛	7	译名
敖曷里雅布	亚何利亚伯	5	译名
敖曾	阿鲜	2	译名
敖林帕	阿林巴	1	译名
敖格	噩	22	译名
敖次尼	阿斯尼	2	译名
敖氏	阿尼西谋	4	人名简称展开
敖波特	阿伯	4	译名
敖特尼耳	俄陀聂	7	译名
敖玛尔	阿抹	3	译名
敖诺	阿挪	5	译名
敖贝得	俄备得	14	译名
敖贝得厄东	俄别以东	21	译名
敖赫耳	阿黑	1	译名
敖难	俄南	10	译名
敖非尔	乌法	2	按语境区分译名
敖非尔	俄斐	11	按语境区分译名
敖非尔	俄斐	2	译名
敖非尔	阿斐	1	按语境区分译名
敖非尔	阿斐	1	译名
敖革兰	俄兰	5	译名
敖默黎	暗利	20	译名
散乃黑黎布	西拿基立	24	译名
斐理伯	腓利	17	按语境区分译名
斐理伯	腓力	20	按语境区分译名
斐理伯	腓力	11	译名
斐理伯	腓立比	7	按语境区分译名
斐理伯	腓立比	1	译名
斐理斯	腓力斯	9	译名
斯塔辉	士大古	1	译名
斯德望	司提反	9	译名
斯特法纳	司提法那	3	译名
斯盖瓦	士基瓦	1	译名
斯米纳	士每拿	2	译名
新	训	2	按语境区分译名
旁非里雅	旁非利亚	6	译名
族尔	苏珥	6	译名
族阿尔	苏押	5	译名
族黎沙待	苏利沙代	5	译名
族黎耳	苏列	1	译名
明尼	米尼	1	译名
普亚	普阿	1	译名
普农	普嫩	2	译名
普提斐辣	波提非拉	1	译名
普提法尔	波提乏	5	译名
普提耳	普铁	1	译名
普特	布特	1	按语境区分译名
普特	弗	6	按语境区分译名
普特	弗	3	译名
普登	布田	1	译名
普耳	普勒	3	译名
普辣	普拉	2	译名
普阿	普瓦	1	按语境区分译名
普黎史拉	百基拉	4	译名
普黎斯加	百基拉	2	译名
曷兰	荷兰	1	译名
曷勒布	何烈	17	按语境区分译名
曷勒布	何烈	1	译名
曷勒布	俄立	1	按语境区分译名
曷堂	何坦	2	按语境区分译名
曷堂	希连	1	按语境区分译名
曷尔	何珥	14	译名
曷尔玛	何珥玛	9	译名
曷巴	何把	1	译名
曷巴布	何巴	3	译名
曷弗尼	何弗尼	4	译名
曷德士	贺得	1	译名
曷提尔	何提	2	译名
曷撒	何萨	4	译名
曷斐辣	法老合弗拉	1	译名
曷曼	荷幔	1	译名
曷楞	和琏	1	译名
曷沙雅	何沙雅	1	译名
曷洛纳因	何罗念	6	译名
曷狄雅	何达威雅	2	按语境区分译名
曷狄雅	荷第雅	6	按语境区分译名
曷罕	何咸	1	译名
曷舍亚	何希阿	2	按语境区分译名
曷舍亚	何细亚	10	按语境区分译名
曷舍雅	何细亚	1	译名
曷达委雅	何大雅	1	按语境区分译名
曷达委雅	何达威	1	按语境区分译名
曷达委雅	何达威雅	3	按语境区分译名
曷隆	何伦	3	译名
曷革拉	曷拉	4	译名
曷黎	何利	14	译名
曷黎人	何利人	2	译名
曷龙	和伦	3	译名
木纳松	拿孙	1	译名
本左赫特	便梭黑	1	译名
本希农谷	欣嫩子谷	1	译名
本敖尼	便俄尼	2	译名
本阿米	便亚米	1	译名
本雅明	便雅悯	192	译名
杜玛	度玛	3	译名
杜辣	杜拉	1	译名
杨布勒	佯庇	1	译名
格林多	哥林多	10	译名
桑巴拉特	参巴拉	10	译名
桑森纳	三撒拿	1	译名
梅瑟	摩西	905	译名
楞番	理番	1	译名
欣	汛	4	按语境区分译名
欣提赫	循都基	1	译名
欧尼刻	友尼基	1	译名
欧步罗	友布罗	1	译名
欧瑟亚	何西阿	8	译名
步克雅	布基雅	2	译名
步尼	布尼	3	译名
步次	布斯	2	译名
步纳	布拿	1	译名
步齐	布西	1	译名
比拉多	彼拉多	61	译名
毛诺泰	悯挪太	2	译名
沃斐息	缚西	1	译名
沙乌耳	少罗	1	按语境区分译名
沙乌耳	扫罗	7	按语境区分译名
沙乌耳	扫罗	3	译名
沙哈漆玛	沙哈洗玛	1	译名
沙哈辣殷	沙哈连	1	译名
沙委	沙微	1	译名
沙委沙	西莱雅	2	译名
沙市加次	沙甲	1	译名
沙得辣客	沙得拉	15	译名
沙慕亚	沙母亚	6	译名
沙拉耳	沙拉勒	1	译名
沙摩特	沙玛	1	译名
沙杜得	撒立	2	译名
沙沙克	沙煞	2	译名
沙法特	沙法	8	译名
沙瑟	沙赛	1	译名
沙米尔	沙密	4	译名
沙耳宾	沙宾	2	译名
沙耳提耳	撒拉铁	15	译名
沙耳曼	沙勒幔	1	译名
沙耳玛乃色	撒缦以色	2	译名
沙贝泰	沙比太	3	译名
沙辣尔	沙拉	1	译名
沙里沙	沙利沙	1	译名
沙阿夫	沙亚弗	2	译名
沙阿拉宾	沙拉宾	1	译名
沙阿林	沙琳	1	译名
沙阿耳宾	沙本	2	译名
沙阿辣因	沙拉音	3	译名
沙隆	沙仑	1	按语境区分译名
沙隆	沙龙	28	按语境区分译名
沙隆	沙龙	1	译名
沙非尔	沙斐	1	译名
沙革	沙基	1	译名
沙鲁恒	沙鲁险	1	译名
沙黎雅	示亚利雅	2	译名
沙默加尔	珊迦	2	译名
沙默来	萨买	1	译名
沙默胡特	珊合	1	译名
沙默舍赖	珊示莱	1	译名
沙龙	沙仑	7	译名
法奴耳	法内力	1	译名
法郎	法老	288	译名
波兹卡特	波斯加	2	译名
波尔阿商	歌拉珊	1	译名
波津	波金	2	译名
波纳尔革	半尼其	1	译名
波责兹	播薛	1	译名
波责辣	波斯拉	8	译名
波阿次	波阿斯	34	译名
波革鲁	波基路	2	译名
洛士	罗实	2	译名
洛多	罗底	3	译名
洛德	罗大	1	译名
洛玛默提厄则尔	罗幔提以谢	2	译名
洛赫加	罗迦	1	译名
洛革林	罗基琳	2	译名
洛革耳	隐罗结	4	译名
漆丁	西丁	1	译名
漆兹	洗斯	1	译名
漆冬	西顿	40	译名
漆冬人	西顿人	12	译名
漆刻拉格	洗革拉	15	译名
漆哈	西哈	3	译名
漆巴	洗巴	16	译名
漆彼雅	洗比雅	1	按语境区分译名
漆彼雅	西比亚	2	按语境区分译名
漆德克雅	西底家	67	译名
漆拉	洗拉	3	译名
漆敖尔	洗珥	1	译名
漆斐雍	洗非芸	1	译名
漆耳泰	洗勒太	1	译名
漆肋泰	洗勒太	1	译名
漆贝红	祭便	8	译名
漆颇尔	西拨	7	译名
漆颇辣	西坡拉	4	译名
熙雍	锡安	165	按语境区分译名
熙雍	锡安	24	译名
特乌达	丢大	1	译名
特兴纳	提欣拿	1	译名
特冷	提拉因	1	按语境区分译名
特冷	提炼	1	按语境区分译名
特冷	提联	1	按语境区分译名
特勒士	提列	3	译名
特尔爵	德丢	1	译名
特尔突罗	帖土罗	2	译名
特巴里雅	底巴利雅	1	译名
特巴黑	提八	1	译名
特拉撒尔	提拉撒	2	译名
特拉黑	他拉	2	译名
特曼	提幔	21	译名
特洛斐摩	特罗非摩	3	译名
特洛阿	特罗亚	6	译名
特玛	提玛	8	译名
特玛赫	答玛	1	译名
特科亚	提哥亚	16	译名
特耳哈尔沙	特哈萨	2	译名
特耳阿彼布	提勒亚毕	1	译名
特耳默拉	特米拉	2	译名
特贝兹	提备斯	4	译名
特辣曷尼	特拉可尼	1	译名
特辣黑	他拉	16	译名
特黎佛撒	土富撒	1	译名
特黎费纳	土非拿	1	译名
犹他	淤他	3	译名
犹加耳	犹甲	2	译名
犹巴耳	犹八	1	译名
犹斯托	犹士都	3	译名
犹沙布赫色得	于沙希悉	1	译名
犹狄	犹底	4	译名
犹达	犹大	19	译名
犹达斯	犹大	21	译名
犹达斯依斯加略	加略人犹大	5	译名
犹里约	犹流	2	译名
犹里雅	犹利亚	1	译名
狄刻拉	德拉	2	译名
狄匝哈布	底撒哈	1	译名
狄商	底珊	5	译名
狄孟	底们	2	译名
狄布拉因	滴拉音	1	译名
狄摩纳	底摩拿	1	译名
狄朋	底本	11	译名
狄狄摩	低土马	3	译名
狄约勒斐	丢特腓	3	译名
狄约尼削	丢尼修	1	译名
狄纳	底拿	12	译名
狄耳罕	底连	1	译名
狄贝黎	底伯利	1	译名
狄雄	底顺	7	译名
玛冬	玛顿	2	译名
玛利亚	马利亚	58	译名
玛刻达	玛基大	9	译名
玛刻黑罗特	玛吉希录	2	译名
玛加丹	马加丹	1	按语境区分译名
玛勒沙	玛利沙	9	译名
玛卡兹	玛迦斯	1	译名
玛哈乃丹	玛哈尼但	1	译名
玛哈拉特	玛哈拉	3	译名
玛哈特	玛哈	4	按语境区分译名
玛哈特	玛押	2	按语境区分译名
玛哈纳因	玛哈念	12	按语境区分译名
玛哈纳因	玛哈念	1	译名
玛哈赖	玛哈莱	3	译名
玛哈齐约特	玛哈秀	2	译名
玛哥格	玛各	5	译名
玛基尔	玛吉	26	译名
玛堂	玛坦	3	按语境区分译名
玛堂	马但	2	按语境区分译名
玛塔塔	玛达他	2	译名
玛塔尼雅	玛他尼	13	按语境区分译名
玛塔尼雅	玛探雅	6	按语境区分译名
玛塔提雅	玛他提亚	18	译名
玛塔特	玛塔	4	译名
玛塔纳	玛他拿	2	译名
玛士	玛施	1	译名
玛尔基雅	玛基雅	1	译名
玛尔大	马大	13	译名
玛尔阿拉	玛拉拉	1	译名
玛弟亚	马提亚	2	译名
玛待	玛代	10	按语境区分译名
玛待	玛代	33	译名
玛待	米底亚	13	按语境区分译名
玛德玛纳	麦玛拿	2	译名
玛德门	玛得缅	1	译名
玛德默纳	玛得米那	1	译名
玛拉基亚	玛拉基	2	译名
玛拉肋耳	玛勒列	9	译名
玛提提雅	玛他提雅	8	译名
玛敖客	玛俄	2	译名
玛斯勒卡	玛士利加	2	译名
玛曷耳	玛曷	1	译名
玛沙耳	玛沙	1	译名
玛洛特	玛律	1	译名
玛特勒得	玛特列	2	译名
玛特黎	玛特利	2	译名
玛窦	马太	6	译名
玛红	玛云	7	按语境区分译名
玛红	玛云	1	译名
玛红	玛哈未	1	按语境区分译名
玛红	米乌尼	3	按语境区分译名
玛纳哈特	玛拿辖	5	译名
玛纳恒	马念	1	译名
玛耳基兰	玛基兰	1	译名
玛耳基叔亚	麦基舒亚	5	译名
玛耳基耳	玛结	4	译名
玛耳基雅	玛基雅	16	译名
玛耳干	玛拉干	1	译名
玛耳曷	马勒古	1	译名
玛色纳	玛西拿	1	译名
玛萨	玛撒	4	译名
玛诺亚	玛挪亚	16	译名
玛赫尔	玛黑珥	1	译名
玛赫尔沙拉耳哈市巴次	玛黑珥沙拉勒哈施罢斯	1	译名
玛赫拉	玛拉	5	按语境区分译名
玛赫色雅	玛西雅	2	译名
玛赫里	抹利	11	按语境区分译名
玛赫里	末力	4	按语境区分译名
玛赫里	玛利	1	按语境区分译名
玛赫隆	玛伦	4	译名
玛路客	玛鹿	7	按语境区分译名
玛路客	米利古	1	按语境区分译名
玛辣	玛拉	6	译名
玛达肋纳	抹大拉	12	译名
玛达达	玛达他	1	译名
玛阿兹	玛斯	1	译名
玛阿加	玛迦	29	译名
玛阿待	玛玳	1	译名
玛阿狄雅	玛底雅	1	译名
玛阿色雅	玛西雅	27	译名
玛阿辣特	玛腊	1	译名
玛阿齐雅	玛西亚	2	译名
玛革丕阿士	抹比押	1	译名
玛革培拉	麦比拉	6	译名
玛革彼士	末必	1	译名
玛革狄耳	玛基叠	2	译名
玛革纳德拜	玛拿底拜	1	译名
玛革贝纳	抹比拿	1	译名
玛默勒	幔利	10	译名
理诺	利奴	1	译名
瓦市提	瓦实提	10	译名
瓦赫布	哇哈伯	1	译名
甘达刻	干大基	1	译名
白冷	伯利恒	53	译名
盖法	该亚法	9	译名
祚哈尔	琐辖	5	译名
祚巴	琐巴	14	译名
祚法黑	琐法	2	译名
祚贝巴	琐比巴	1	译名
祚辣	琐拉	13	译名
福依贝	非比	1	译名
福突纳托	福徒拿都	1	译名
科勒	可利	3	译名
科尔乃略	哥尼流	8	译名
科拉雅	哥赖雅	3	译名
科散	哥桑	2	译名
科斯	哥士	3	译名
科辣黑	可拉	51	译名
称作“誓约井”	称作“别是巴”	1	意译专名
称它为：“大能者以色列的上帝。”	称它为：“伊利伊罗伊以色列。”	1	意译专名
稣亚	书亚	1	译名
稣加	苏甲	1	译名
稣基因人	苏基人	1	译名
稣夫	疏弗	1	译名
稣尔	书珥	2	译名
稣息	稣西	1	译名
稣撒	书珊	22	译名
稣法	苏法	1	译名
稣苛特贝诺特	疏割比讷	1	译名
突巴耳	土巴	8	译名
突巴耳加音	土八该隐	2	译名
米丁	密丁	1	译名
米兹培	米斯巴	2	译名
米兹帕	米斯巴	46	译名
米兹辣殷	麦西	4	译名
米刻乃雅	弥克尼雅	2	译名
米刻罗特	米基罗	4	译名
米加	米迦	46	译名
米加耳	米甲	17	按语境区分译名
米加耳	米迦勒	12	按语境区分译名
米加雅	米该亚	6	按语境区分译名
米加雅	米该雅	26	按语境区分译名
米匝	米撒	3	译名
米商	米珊	1	译名
米尔玛	米玛	1	译名
米尼特	米匿	2	译名
米尼雅明	米拿民	2	译名
米市玛	米施玛	5	译名
米市辣	密来	1	译名
米德杨	米甸	69	译名
米息雅	每西亚	3	译名
米拉来	米拉莱	1	译名
米提肋乃	米推利尼	1	译名
米斯勒佛特玛殷	米斯利弗玛音	2	译名
米斯帕勒特	米斯毗列	1	译名
米斯帕尔	米斯拔	1	译名
米沙耳	米沙利	8	按语境区分译名
米沙耳	米沙利	2	译名
米沙耳	米沙勒	2	按语境区分译名
米特卡	密加	2	译名
